Model_ID,Cell_line_Name,COSMIC_ID,TCGA_Classfication,Tissue,Tissue_subtype
SIDM00540,DOK,910936,HNSC,aero_digestive_tract,head_and_neck
SIDM00541,HT55,907287,COREAD,digestive_system,large_intestine
SIDM00542,D-392MG,946370,GBM,nervous_system,glioma
SIDM00543,GAK,910932,SKCM,skin,melanoma
SIDM00544,GOTO,906875,NB,nervous_system,neuroblastoma
SIDM00545,Mewo,908128,SKCM,skin,melanoma
SIDM00547,LU-65,724863,UNCLASSIFIED,lung,lung_NSCLC_large_cell
SIDM00548,LK-2,687787,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
SIDM00549,LC4-1,907787,ALL,blood,lymphoblastic_leukemia
SIDM00550,KYSE-50,1298222,ESCA,aero_digestive_tract,oesophagus
SIDM00551,KYSE-220,1240167,ESCA,aero_digestive_tract,oesophagus
SIDM00552,KYM-1,1240166,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
SIDM00553,KY821,907300,LAML,blood,leukemia
SIDM00554,KURAMOCHI,909975,UNCLASSIFIED,urogenital_system,ovary
SIDM00555,KS-1,907313,GBM,nervous_system,glioma
SIDM00556,KP-N-YN,907314,NB,nervous_system,neuroblastoma
SIDM00560,MKN7,924250,STAD,digestive_system,stomach
SIDM00561,MLMA,908142,UNCLASSIFIED,blood,hairy_cell_leukaemia
SIDM00562,MRK-nu-1,908151,BRCA,breast,breast
SIDM00564,OVISE,1240198,OV,urogenital_system,ovary
SIDM00565,OSC-20,1240196,HNSC,aero_digestive_tract,head_and_neck
SIDM00566,OSC-19,1298362,HNSC,aero_digestive_tract,head_and_neck
